,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
Store_1045,33.9612,27.613,1.8277999999999999,5.4066,95.24080000000001,112.04060000000001,131.48770000000002,95.9669,2.796,58.8965,0.0,25.5688,50.032599999999995,150.87320000000003,62.1159,146.6442,12.5426,139.01160000000002,60.7453,74.7204,71.1472,72.5573,24.7238,27.5961,44.371,115.8767,46.7573,83.746,37.1368,11.1605,145.3293,140.55710000000002,71.6258,153.2022,4.1029,116.1696,93.908,59.250800000000005,90.29660000000001,59.4149,30.4428,75.8618,71.2496,158.0795,54.9189,109.706,37.4819,58.6956,48.6114,67.27969999999999
Store_1049,8.0692,4.1231,21.2392,26.8223,74.9568,91.59530000000001,111.0424,75.6828,26.799,38.4511,24.9403,0.0,32.0315,130.4279,41.6706,126.1989,20.8443,118.5663,40.2999,54.2751,65.68719999999999,67.0974,5.491899999999999,3.5303,33.1656,132.18929999999997,26.312,63.3007,45.4459,19.4622,124.884,156.8698,51.1804,132.7569,24.185200000000002,95.7243,73.62389999999999,38.8055,69.85130000000001,38.9695,6.089899999999999,55.4165,50.804199999999994,127.9697,34.634800000000006,89.2607,17.0366,38.2503,37.406,46.995599999999996
Store_1050,25.677400000000002,36.5565,48.0214,48.0638,49.1783,92.1038,111.55080000000001,49.9044,50.561699999999995,35.7636,48.703,30.1393,0.0,130.93630000000002,40.5885,126.7073,39.058800000000005,119.07469999999999,41.3975,54.7835,36.037,37.447199999999995,37.398199999999996,28.8313,4.7791999999999994,163.0936,6.7969,63.8091,46.2599,40.5458,125.3924,187.7741,21.7092,133.2653,45.4266,82.6,47.8455,34.8446,48.7304,35.0086,28.1887,39.4655,43.8915,128.4782,6.9313,89.76910000000001,20.0453,38.788599999999995,3.6932,21.217200000000002
Store_1052,126.0246,132.3095,147.0492,152.6323,144.14260000000002,57.3482,27.2605,140.3647,152.6089,91.8145,150.7502,127.75569999999999,129.68030000000002,0.0,89.7252,11.828700000000001,148.6031,13.869200000000001,88.78710000000001,86.1511,163.57029999999997,164.9804,133.67829999999998,126.44760000000001,129.75039999999998,196.0012,124.248,77.3225,173.7931,147.2211,32.4636,220.6817,114.5882,4.335,149.9951,74.9824,138.66060000000002,98.7327,93.42089999999999,95.644,128.5359,89.7736,93.6955,35.5493,132.5179,52.4699,123.55789999999999,91.6645,131.2596,144.8787
Store_1053,37.605,43.889900000000004,58.629599999999996,64.2127,68.4015,51.4365,70.8836,69.1275,64.1893,3.4895,62.3306,39.3361,39.6203,90.26910000000001,0.0,86.04,60.1836,78.4075,2.4543000000000004,11.4267,73.5102,74.9203,45.2587,38.0281,39.6903,148.9102,34.1879,21.2742,83.733,58.8015,84.7252,173.5907,25.2874,92.5981,61.5755,53.6978,67.0686,9.431899999999999,24.898400000000002,6.3431999999999995,40.1164,16.011200000000002,3.8639,87.81089999999999,42.457800000000006,49.1019,35.1383,4.545100000000001,41.1995,49.839800000000004
Store_1058,121.63839999999999,127.9232,142.6629,148.246,139.75629999999998,52.962,16.0392,135.9785,148.2226,87.4282,146.3639,123.3694,125.2941,12.3495,85.339,0.0,144.21689999999998,8.6373,84.4008,81.7649,159.184,160.5942,129.2921,122.06139999999999,125.3642,184.7798,119.8618,72.9363,169.4069,142.8348,22.570700000000002,209.4603,110.202,7.573300000000001,145.6089,70.5962,134.27439999999999,94.3465,89.0347,91.2577,124.1497,85.3873,89.3092,25.6564,128.1316,48.0836,119.17160000000001,87.2782,126.87339999999999,140.4924
Store_1071,22.7168,20.3804,11.1541,11.1965,85.555,110.0253,129.4723,86.28110000000001,13.6944,56.881099999999996,11.835700000000001,20.845599999999997,40.3468,148.8578,60.1005,144.62879999999998,0.0,136.99620000000002,58.7299,72.705,61.461400000000005,62.8716,19.154400000000003,23.608,34.685300000000005,126.22630000000001,39.6865,81.73060000000001,27.451,2.2649,143.3139,150.90679999999998,61.687400000000004,151.18679999999998,8.559299999999999,114.1543,84.2222,57.2354,88.2812,57.3995,19.9509,73.84639999999999,69.2342,146.39970000000002,45.2331,107.6906,31.8265,56.6802,38.9257,57.593900000000005
Store_1074,114.7447,121.0296,135.7693,141.3524,132.86270000000002,46.0683,16.1438,129.0849,141.329,80.53460000000001,139.47029999999998,116.4758,118.4005,13.9635,78.4453,8.1602,137.3233,0.0,77.5072,74.8713,152.2904,153.7006,122.3984,115.1678,118.4705,184.8845,112.9682,66.0427,162.5132,135.9412,32.6098,209.5649,103.30839999999999,16.5611,138.71529999999998,63.7025,127.38080000000001,87.4529,82.14110000000001,84.36410000000001,117.2561,78.4937,82.41560000000001,35.6955,121.238,41.19,112.278,80.3846,119.9798,133.59879999999998
Store_1077,36.0635,42.3483,57.088,62.671099999999996,69.4787,50.321400000000004,69.7685,70.2048,62.6477,3.1535,60.7891,37.7945,39.7132,89.154,2.6626999999999996,84.925,58.642,77.2924,0.0,9.0504,73.60310000000001,75.0133,43.7172,36.4865,39.783300000000004,146.53379999999999,34.2809,21.9387,83.826,57.26,83.6101,171.21429999999998,26.3647,91.483,60.034,54.362300000000005,68.1459,10.5092,28.4893,7.4205,38.5748,17.0885,5.9656,86.6958,42.5507,47.9868,33.5967,3.0035,41.2925,50.9171
Store_1082,48.652800000000006,54.9377,69.67739999999999,75.2605,77.5858,47.883,67.3301,78.3119,75.23710000000001,10.434899999999999,73.3784,50.383900000000004,52.3085,86.71560000000001,10.7698,82.48660000000001,71.2313,74.854,8.4236,0.0,86.1985,87.60860000000001,56.3065,49.075900000000004,52.3786,145.11960000000002,46.8762,21.4656,96.4213,69.8493,81.1717,169.8,34.4718,89.0446,72.6233,59.8994,76.253,18.6163,34.0264,15.5276,51.1641,25.1956,14.979299999999999,79.05539999999999,55.1461,45.5484,46.186099999999996,9.4404,53.887800000000006,59.0242
