,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
DC_Tilburg,0.0,15.0,35.0,35.0,70.0,85.0,100.0,75.0,40.0,40.0,35.0,15.0,35.0,120.0,40.0,110.0,35.0,105.0,40.0,50.0,65.0,65.0,15.0,15.0,30.0,120.0,25.0,60.0,50.0,35.0,115.0,145.0,45.0,120.0,35.0,85.0,70.0,35.0,65.0,35.0,10.0,55.0,50.0,120.0,35.0,80.0,15.0,35.0,35.0,45.0
Store_1004,15.0,0.0,30.0,30.0,80.0,90.0,110.0,85.0,35.0,45.0,30.0,10.0,40.0,125.0,50.0,120.0,30.0,115.0,45.0,60.0,70.0,70.0,5.0,15.0,35.0,115.0,35.0,65.0,50.0,30.0,120.0,140.0,55.0,125.0,30.0,90.0,80.0,45.0,70.0,45.0,10.0,65.0,55.0,125.0,45.0,90.0,25.0,45.0,40.0,55.0
Store_1005,35.0,30.0,0.0,15.0,90.0,105.0,120.0,95.0,10.0,60.0,5.0,25.0,50.0,140.0,60.0,135.0,15.0,130.0,60.0,75.0,70.0,70.0,30.0,30.0,45.0,100.0,50.0,80.0,40.0,15.0,135.0,125.0,70.0,140.0,10.0,105.0,90.0,60.0,85.0,60.0,35.0,80.0,70.0,140.0,55.0,100.0,40.0,60.0,50.0,65.0
Store_1007,40.0,30.0,10.0,0.0,90.0,110.0,125.0,95.0,10.0,60.0,10.0,30.0,50.0,145.0,65.0,135.0,20.0,130.0,65.0,75.0,70.0,70.0,30.0,35.0,45.0,105.0,50.0,80.0,40.0,15.0,140.0,130.0,70.0,145.0,10.0,110.0,90.0,60.0,90.0,60.0,40.0,80.0,70.0,140.0,55.0,105.0,45.0,60.0,50.0,65.0
Store_1015,70.0,80.0,90.0,90.0,0.0,85.0,120.0,10.0,95.0,70.0,95.0,75.0,55.0,135.0,70.0,130.0,85.0,125.0,70.0,90.0,50.0,40.0,80.0,75.0,55.0,180.0,50.0,85.0,70.0,85.0,130.0,205.0,45.0,135.0,90.0,70.0,5.0,65.0,65.0,65.0,75.0,65.0,75.0,135.0,45.0,85.0,65.0,75.0,50.0,40.0
Store_1018,85.0,90.0,105.0,110.0,85.0,0.0,45.0,90.0,110.0,60.0,105.0,85.0,90.0,60.0,55.0,55.0,110.0,50.0,55.0,50.0,120.0,110.0,95.0,85.0,90.0,165.0,85.0,50.0,125.0,105.0,55.0,190.0,80.0,60.0,105.0,25.0,85.0,65.0,55.0,65.0,90.0,60.0,60.0,60.0,90.0,10.0,85.0,55.0,95.0,100.0
Store_1019,100.0,110.0,120.0,125.0,120.0,45.0,0.0,120.0,130.0,75.0,125.0,105.0,110.0,30.0,75.0,20.0,125.0,20.0,70.0,70.0,140.0,135.0,110.0,105.0,105.0,140.0,100.0,65.0,145.0,125.0,25.0,165.0,100.0,25.0,125.0,60.0,120.0,85.0,80.0,80.0,105.0,80.0,75.0,30.0,110.0,40.0,105.0,75.0,110.0,120.0
Store_1021,75.0,85.0,95.0,95.0,10.0,85.0,120.0,0.0,100.0,75.0,100.0,80.0,60.0,140.0,75.0,130.0,90.0,125.0,75.0,95.0,50.0,45.0,85.0,80.0,60.0,185.0,55.0,85.0,75.0,90.0,135.0,210.0,50.0,140.0,95.0,70.0,10.0,70.0,65.0,70.0,80.0,70.0,80.0,140.0,50.0,90.0,70.0,80.0,55.0,45.0
Store_1029,40.0,35.0,10.0,10.0,95.0,110.0,130.0,100.0,0.0,65.0,10.0,35.0,55.0,145.0,70.0,140.0,25.0,135.0,65.0,80.0,75.0,75.0,35.0,35.0,50.0,100.0,55.0,85.0,45.0,20.0,140.0,125.0,75.0,145.0,15.0,110.0,95.0,65.0,90.0,65.0,40.0,85.0,75.0,135.0,60.0,110.0,45.0,65.0,55.0,70.0
Store_1041,35.0,45.0,60.0,60.0,70.0,55.0,75.0,75.0,65.0,0.0,60.0,40.0,45.0,90.0,10.0,85.0,60.0,80.0,10.0,25.0,75.0,75.0,45.0,40.0,40.0,125.0,35.0,30.0,80.0,60.0,85.0,150.0,30.0,90.0,60.0,60.0,70.0,20.0,40.0,15.0,40.0,30.0,15.0,90.0,45.0,55.0,40.0,5.0,45.0,55.0
Store_1045,35.0,30.0,5.0,15.0,90.0,105.0,125.0,95.0,10.0,60.0,0.0,30.0,55.0,140.0,65.0,135.0,20.0,130.0,60.0,75.0,70.0,70.0,30.0,30.0,45.0,100.0,50.0,80.0,40.0,15.0,135.0,125.0,70.0,140.0,10.0,105.0,95.0,60.0,90.0,60.0,40.0,80.0,70.0,140.0,55.0,105.0,40.0,60.0,50.0,65.0
Store_1049,15.0,10.0,30.0,30.0,80.0,90.0,105.0,85.0,35.0,45.0,30.0,0.0,40.0,125.0,45.0,115.0,30.0,110.0,45.0,55.0,70.0,70.0,15.0,10.0,40.0,115.0,35.0,65.0,55.0,30.0,120.0,140.0,50.0,125.0,30.0,90.0,80.0,40.0,70.0,40.0,15.0,60.0,50.0,125.0,40.0,85.0,25.0,40.0,45.0,50.0
Store_1050,35.0,45.0,50.0,55.0,55.0,90.0,110.0,60.0,60.0,45.0,55.0,40.0,0.0,125.0,50.0,120.0,45.0,115.0,50.0,60.0,45.0,45.0,45.0,40.0,15.0,145.0,15.0,65.0,50.0,45.0,120.0,170.0,35.0,125.0,50.0,90.0,55.0,40.0,65.0,40.0,40.0,50.0,55.0,125.0,15.0,90.0,30.0,45.0,10.0,30.0
Store_1052,120.0,125.0,140.0,145.0,135.0,60.0,30.0,140.0,145.0,90.0,140.0,120.0,125.0,0.0,90.0,15.0,145.0,20.0,85.0,85.0,155.0,155.0,130.0,120.0,125.0,160.0,120.0,80.0,160.0,140.0,40.0,185.0,115.0,10.0,140.0,75.0,135.0,100.0,100.0,95.0,125.0,95.0,95.0,40.0,125.0,55.0,120.0,90.0,130.0,135.0
Store_1053,40.0,50.0,60.0,65.0,70.0,55.0,70.0,75.0,70.0,10.0,65.0,45.0,45.0,90.0,0.0,85.0,65.0,80.0,10.0,25.0,75.0,75.0,50.0,45.0,45.0,130.0,40.0,30.0,80.0,65.0,85.0,155.0,30.0,90.0,60.0,55.0,70.0,20.0,35.0,15.0,45.0,25.0,10.0,90.0,45.0,55.0,45.0,10.0,50.0,55.0
Store_1058,110.0,120.0,130.0,135.0,130.0,50.0,20.0,130.0,140.0,85.0,135.0,115.0,120.0,15.0,80.0,0.0,135.0,20.0,80.0,80.0,145.0,145.0,120.0,115.0,115.0,150.0,110.0,75.0,150.0,135.0,30.0,175.0,110.0,10.0,130.0,70.0,125.0,95.0,90.0,90.0,115.0,90.0,85.0,35.0,115.0,50.0,115.0,85.0,120.0,130.0
