,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
Store_1102,110.0,105.0,90.0,95.0,160.0,145.0,125.0,165.0,90.0,110.0,90.0,100.0,130.0,140.0,115.0,135.0,100.0,135.0,110.0,110.0,145.0,145.0,105.0,105.0,120.0,0.0,120.0,125.0,115.0,95.0,135.0,35.0,130.0,140.0,95.0,150.0,160.0,120.0,130.0,120.0,110.0,130.0,115.0,130.0,125.0,145.0,110.0,110.0,125.0,135.0
Store_1128,25.0,30.0,45.0,45.0,45.0,75.0,90.0,50.0,50.0,35.0,45.0,25.0,15.0,105.0,35.0,100.0,40.0,95.0,35.0,45.0,40.0,40.0,30.0,25.0,10.0,120.0,0.0,50.0,45.0,40.0,100.0,140.0,25.0,105.0,40.0,75.0,45.0,30.0,55.0,30.0,25.0,45.0,40.0,105.0,15.0,70.0,20.0,35.0,15.0,25.0
Store_1137,50.0,60.0,70.0,75.0,75.0,40.0,55.0,75.0,75.0,30.0,70.0,55.0,60.0,70.0,25.0,65.0,75.0,60.0,25.0,30.0,85.0,85.0,60.0,55.0,55.0,125.0,50.0,0.0,85.0,70.0,65.0,145.0,40.0,70.0,70.0,40.0,70.0,35.0,25.0,35.0,55.0,20.0,20.0,70.0,55.0,40.0,55.0,30.0,60.0,60.0
Store_1142,40.0,40.0,35.0,35.0,60.0,110.0,125.0,65.0,35.0,70.0,35.0,45.0,40.0,140.0,70.0,135.0,25.0,130.0,70.0,80.0,35.0,35.0,40.0,50.0,40.0,110.0,40.0,85.0,0.0,25.0,135.0,135.0,55.0,140.0,30.0,105.0,65.0,65.0,80.0,65.0,40.0,70.0,75.0,140.0,40.0,105.0,50.0,70.0,40.0,50.0
Store_1143,30.0,25.0,15.0,15.0,75.0,90.0,110.0,75.0,20.0,55.0,15.0,25.0,40.0,125.0,55.0,115.0,5.0,115.0,55.0,65.0,55.0,55.0,25.0,30.0,30.0,95.0,35.0,70.0,30.0,0.0,120.0,115.0,55.0,125.0,10.0,95.0,75.0,50.0,75.0,50.0,30.0,70.0,60.0,120.0,40.0,90.0,35.0,50.0,35.0,50.0
Store_1153,100.0,105.0,115.0,120.0,115.0,50.0,25.0,115.0,125.0,75.0,120.0,100.0,105.0,35.0,75.0,25.0,120.0,35.0,70.0,70.0,130.0,130.0,105.0,100.0,105.0,130.0,100.0,70.0,135.0,120.0,0.0,155.0,95.0,30.0,120.0,60.0,115.0,85.0,80.0,80.0,105.0,80.0,75.0,15.0,105.0,45.0,100.0,75.0,110.0,115.0
Store_1160,125.0,125.0,110.0,110.0,180.0,165.0,145.0,180.0,110.0,130.0,110.0,120.0,145.0,160.0,130.0,150.0,115.0,155.0,130.0,130.0,160.0,160.0,120.0,120.0,140.0,35.0,140.0,145.0,135.0,115.0,150.0,0.0,145.0,155.0,110.0,165.0,180.0,140.0,150.0,135.0,130.0,145.0,135.0,150.0,145.0,165.0,130.0,130.0,145.0,155.0
Store_1165,40.0,50.0,60.0,60.0,40.0,70.0,85.0,45.0,65.0,30.0,60.0,45.0,25.0,100.0,30.0,95.0,55.0,90.0,30.0,45.0,50.0,50.0,50.0,45.0,30.0,130.0,25.0,40.0,55.0,55.0,100.0,150.0,0.0,100.0,60.0,60.0,40.0,25.0,35.0,25.0,45.0,25.0,35.0,100.0,25.0,70.0,40.0,30.0,30.0,25.0
Store_1169,105.0,110.0,120.0,125.0,120.0,50.0,25.0,120.0,125.0,80.0,125.0,105.0,110.0,10.0,80.0,10.0,125.0,20.0,75.0,75.0,135.0,135.0,110.0,105.0,105.0,135.0,105.0,70.0,140.0,120.0,30.0,155.0,100.0,0.0,120.0,65.0,115.0,90.0,85.0,85.0,105.0,85.0,80.0,35.0,110.0,50.0,105.0,80.0,110.0,120.0
Store_1174,30.0,25.0,10.0,10.0,75.0,90.0,105.0,80.0,10.0,50.0,10.0,25.0,40.0,120.0,55.0,115.0,15.0,110.0,55.0,65.0,60.0,55.0,25.0,25.0,35.0,90.0,40.0,70.0,30.0,10.0,115.0,110.0,60.0,120.0,0.0,90.0,80.0,50.0,75.0,50.0,30.0,70.0,60.0,120.0,45.0,90.0,35.0,50.0,40.0,55.0
Store_1175,75.0,80.0,95.0,95.0,60.0,20.0,50.0,60.0,100.0,55.0,95.0,80.0,80.0,65.0,50.0,60.0,100.0,55.0,50.0,60.0,85.0,80.0,85.0,80.0,80.0,150.0,75.0,40.0,110.0,95.0,60.0,170.0,60.0,65.0,95.0,0.0,60.0,60.0,40.0,55.0,80.0,45.0,45.0,65.0,80.0,25.0,80.0,50.0,80.0,75.0
Store_1178,65.0,70.0,80.0,80.0,5.0,75.0,100.0,5.0,85.0,65.0,80.0,70.0,50.0,120.0,65.0,110.0,75.0,110.0,65.0,80.0,45.0,35.0,70.0,65.0,50.0,160.0,45.0,70.0,65.0,75.0,115.0,180.0,40.0,120.0,80.0,60.0,0.0,60.0,55.0,55.0,65.0,55.0,70.0,115.0,40.0,75.0,60.0,65.0,45.0,35.0
Store_1179,35.0,40.0,50.0,55.0,55.0,60.0,75.0,60.0,55.0,15.0,55.0,35.0,35.0,90.0,15.0,85.0,55.0,80.0,15.0,30.0,60.0,60.0,40.0,35.0,35.0,120.0,30.0,35.0,65.0,50.0,85.0,140.0,20.0,90.0,50.0,60.0,55.0,0.0,35.0,10.0,35.0,25.0,20.0,90.0,35.0,55.0,35.0,20.0,40.0,40.0
Store_1187,60.0,65.0,75.0,80.0,55.0,50.0,70.0,55.0,80.0,35.0,80.0,60.0,55.0,90.0,30.0,80.0,80.0,80.0,30.0,40.0,75.0,75.0,65.0,60.0,55.0,130.0,50.0,25.0,80.0,80.0,85.0,150.0,35.0,90.0,75.0,40.0,55.0,35.0,0.0,35.0,65.0,15.0,30.0,85.0,50.0,50.0,60.0,35.0,55.0,50.0
Store_1188,30.0,40.0,50.0,55.0,55.0,55.0,70.0,60.0,55.0,10.0,50.0,35.0,35.0,85.0,10.0,80.0,55.0,75.0,15.0,25.0,60.0,60.0,40.0,35.0,35.0,115.0,30.0,30.0,65.0,50.0,80.0,140.0,20.0,85.0,50.0,55.0,55.0,10.0,35.0,0.0,35.0,25.0,15.0,85.0,35.0,55.0,35.0,15.0,35.0,40.0
Store_1189,10.0,15.0,35.0,35.0,65.0,80.0,95.0,70.0,40.0,40.0,35.0,15.0,35.0,110.0,40.0,105.0,30.0,100.0,40.0,50.0,60.0,60.0,15.0,15.0,30.0,110.0,30.0,55.0,40.0,30.0,105.0,130.0,45.0,110.0,35.0,80.0,70.0,35.0,60.0,35.0,0.0,55.0,45.0,110.0,35.0,75.0,20.0,40.0,35.0,45.0
Store_1191,50.0,55.0,65.0,70.0,60.0,55.0,70.0,60.0,75.0,25.0,70.0,50.0,45.0,85.0,20.0,80.0,70.0,75.0,25.0,35.0,70.0,70.0,55.0,50.0,45.0,125.0,45.0,20.0,70.0,70.0,80.0,150.0,25.0,85.0,65.0,40.0,55.0,25.0,15.0,25.0,55.0,0.0,20.0,85.0,40.0,50.0,50.0,25.0,45.0,45.0
Store_1192,40.0,45.0,60.0,60.0,65.0,50.0,70.0,70.0,65.0,15.0,60.0,45.0,45.0,85.0,10.0,75.0,65.0,75.0,10.0,25.0,70.0,70.0,50.0,45.0,45.0,115.0,40.0,25.0,75.0,60.0,80.0,135.0,30.0,85.0,60.0,45.0,65.0,20.0,30.0,15.0,45.0,20.0,0.0,80.0,45.0,50.0,45.0,15.0,50.0,50.0
Store_1194,100.0,105.0,115.0,120.0,115.0,50.0,25.0,115.0,115.0,75.0,115.0,105.0,105.0,35.0,75.0,25.0,120.0,35.0,75.0,70.0,130.0,130.0,110.0,100.0,105.0,125.0,100.0,70.0,135.0,120.0,10.0,145.0,100.0,30.0,120.0,65.0,115.0,85.0,85.0,80.0,105.0,80.0,80.0,0.0,105.0,45.0,100.0,75.0,110.0,115.0
Store_1198,30.0,35.0,45.0,45.0,40.0,80.0,95.0,45.0,50.0,40.0,50.0,35.0,15.0,110.0,40.0,105.0,40.0,100.0,40.0,50.0,35.0,35.0,40.0,30.0,15.0,125.0,10.0,55.0,40.0,40.0,105.0,145.0,25.0,110.0,45.0,75.0,40.0,35.0,50.0,35.0,35.0,40.0,45.0,110.0,0.0,75.0,25.0,40.0,10.0,15.0
Store_1199,70.0,75.0,90.0,90.0,75.0,5.0,35.0,75.0,95.0,50.0,90.0,75.0,75.0,50.0,45.0,45.0,95.0,40.0,45.0,45.0,105.0,95.0,80.0,70.0,75.0,145.0,70.0,40.0,105.0,90.0,50.0,165.0,70.0,50.0,90.0,25.0,75.0,55.0,45.0,50.0,75.0,50.0,50.0,50.0,75.0,0.0,75.0,50.0,80.0,85.0
Store_1205,15.0,20.0,35.0,35.0,60.0,75.0,90.0,60.0,40.0,35.0,35.0,20.0,25.0,105.0,40.0,100.0,40.0,95.0,35.0,50.0,50.0,50.0,25.0,20.0,25.0,110.0,20.0,55.0,50.0,35.0,100.0,130.0,40.0,105.0,35.0,75.0,60.0,35.0,60.0,35.0,20.0,50.0,45.0,105.0,25.0,75.0,0.0,35.0,30.0,35.0
Store_1208,35.0,40.0,50.0,55.0,65.0,50.0,65.0,70.0,55.0,5.0,50.0,35.0,40.0,80.0,10.0,75.0,55.0,70.0,5.0,20.0,65.0,65.0,40.0,35.0,35.0,110.0,30.0,25.0,70.0,50.0,75.0,130.0,30.0,80.0,50.0,50.0,65.0,20.0,35.0,15.0,35.0,25.0,15.0,80.0,40.0,50.0,35.0,0.0,40.0,50.0
Store_1219,30.0,35.0,45.0,45.0,45.0,80.0,95.0,50.0,50.0,40.0,45.0,35.0,10.0,110.0,40.0,105.0,35.0,100.0,45.0,55.0,35.0,35.0,35.0,35.0,10.0,125.0,15.0,60.0,40.0,40.0,105.0,145.0,25.0,110.0,40.0,80.0,45.0,35.0,55.0,35.0,35.0,45.0,45.0,110.0,10.0,80.0,30.0,40.0,0.0,20.0
Store_1222,40.0,45.0,55.0,55.0,35.0,85.0,105.0,40.0,60.0,45.0,55.0,45.0,25.0,120.0,45.0,110.0,50.0,110.0,45.0,60.0,45.0,40.0,50.0,40.0,25.0,135.0,20.0,60.0,50.0,50.0,115.0,155.0,25.0,120.0,55.0,70.0,35.0,40.0,50.0,40.0,45.0,45.0,50.0,115.0,15.0,85.0,35.0,50.0,20.0,0.0
