,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
DC_Tilburg,0.0,10.03,27.315,30.373333333333335,59.20166666666667,70.33666666666666,85.64166666666667,63.644999999999996,32.776666666666664,30.671666666666667,28.988333333333333,11.18,28.058333333333334,101.07666666666667,34.07,95.39333333333335,26.23166666666667,91.225,32.37,43.28,53.27166666666667,52.809999999999995,10.756666666666666,9.621666666666666,25.505,102.24,20.605,48.24,39.76,28.026666666666664,96.71833333333333,123.27833333333334,38.61,101.09833333333333,27.658333333333335,71.58999999999999,60.34,30.15666666666667,54.67166666666667,30.121666666666666,6.048333333333333,47.483333333333334,39.22166666666667,100.35166666666667,26.881666666666668,68.95,11.665,30.383333333333333,30.08,36.833333333333336
Store_1004,10.293333333333333,0.0,23.61,25.43,67.19333333333333,76.38166666666666,91.68666666666667,71.63666666666667,29.071666666666665,36.71666666666667,25.283333333333335,6.963333333333334,34.06333333333333,107.12166666666667,40.115,101.43833333333333,24.31833333333333,97.27,38.415,49.325,57.891666666666666,57.43,2.8483333333333336,9.775,27.526666666666664,98.53500000000001,28.596666666666668,54.285,40.43833333333334,22.141666666666666,102.76333333333334,119.57333333333332,44.655,107.14333333333335,22.715,77.635,68.33166666666666,36.20166666666667,60.71666666666667,36.166666666666664,7.715,53.52833333333333,45.266666666666666,106.39666666666668,34.873333333333335,74.99499999999999,19.65666666666667,36.42833333333333,32.46333333333333,44.825
Store_1005,27.708333333333332,24.113333333333333,0.0,8.696666666666665,76.19333333333334,88.32166666666667,103.62666666666668,80.63666666666667,8.341666666666667,48.656666666666666,2.5050000000000003,21.426666666666666,41.88166666666667,119.06166666666667,52.055,113.37833333333333,12.963333333333333,109.21000000000001,50.355000000000004,61.265,57.495,57.03333333333333,23.426666666666666,23.92,35.345,86.25666666666666,40.53666666666666,66.225,31.145,10.786666666666667,114.70333333333333,107.295,56.595,119.08333333333333,5.805000000000001,89.575,77.33166666666666,48.141666666666666,72.65666666666667,48.10666666666667,29.365000000000002,65.46833333333333,57.20666666666667,117.475,43.873333333333335,86.935,31.596666666666668,48.36833333333333,40.281666666666666,53.825
Store_1007,30.96833333333333,25.726666666666667,8.513333333333334,0.0,77.075,91.58166666666666,106.88666666666667,81.51833333333335,8.078333333333333,51.916666666666664,8.491666666666667,24.686666666666667,42.763333333333335,122.32166666666667,55.315000000000005,116.63833333333334,13.845,112.47,53.615,64.525,58.376666666666665,57.915,25.0,27.18,36.22666666666667,88.95666666666666,41.55,69.485,32.026666666666664,11.668333333333333,117.96333333333334,109.99499999999999,59.855000000000004,122.34333333333333,6.113333333333333,92.83500000000001,78.21333333333334,51.401666666666664,75.91666666666667,51.36666666666667,31.221666666666668,68.72833333333332,60.46666666666667,120.175,44.755,90.195,34.85666666666667,51.62833333333333,41.163333333333334,54.70666666666667
Store_1015,59.656666666666666,67.59833333333333,77.24499999999999,77.82333333333332,0.0,72.06,101.66833333333334,5.59,82.08999999999999,59.598333333333336,78.30166666666668,64.33833333333334,44.973333333333336,117.10333333333332,59.87,111.42,70.62166666666667,107.25166666666668,60.68666666666666,74.38166666666666,39.475,33.65,68.93666666666667,63.11666666666667,46.36,154.68666666666667,43.22,70.955,59.69166666666667,71.175,112.74499999999999,175.725,38.31166666666666,117.125,75.10833333333333,57.63666666666666,3.441666666666667,54.24666666666667,52.394999999999996,54.211666666666666,63.983333333333334,56.318333333333335,64.75666666666667,116.37833333333333,37.236666666666665,73.85166666666667,55.74166666666667,62.24333333333333,43.056666666666665,31.39333333333333
Store_1018,71.0,76.80166666666668,88.96499999999999,92.02333333333333,73.36999999999999,0.0,35.06666666666667,74.53666666666666,94.42666666666668,47.97666666666667,90.63833333333334,73.53500000000001,77.11,50.501666666666665,45.73833333333334,44.818333333333335,92.58833333333334,40.65,43.559999999999995,43.391666666666666,100.00333333333333,94.17833333333333,78.98,72.31333333333333,74.55666666666666,143.09166666666667,70.555,39.23833333333334,106.45666666666666,90.41166666666666,46.14333333333333,164.13,67.93666666666667,50.52333333333333,89.30833333333334,20.868333333333332,71.76666666666667,56.416666666666664,46.38166666666667,52.425,75.32666666666667,50.55166666666666,48.42333333333333,49.776666666666664,76.045,5.6466666666666665,72.84333333333333,47.56166666666666,79.13166666666666,85.99666666666667
Store_1019,86.28666666666666,92.08833333333334,104.25166666666668,107.31,101.69,34.848333333333336,0.0,102.85666666666665,109.71333333333334,63.263333333333335,105.925,88.82166666666667,92.39666666666668,24.41166666666667,61.025,15.185,107.875,17.018333333333334,58.84666666666667,58.67833333333333,117.72166666666666,117.26,94.26666666666667,87.6,89.84333333333333,119.65666666666667,85.84166666666667,54.525,121.74333333333334,105.69833333333332,20.64333333333333,140.69500000000002,83.38333333333334,20.89,104.595,49.18833333333334,100.08666666666666,71.70333333333333,68.61833333333334,67.71166666666666,90.61333333333333,66.155,63.71,24.276666666666664,91.33166666666666,32.835,88.13000000000001,62.848333333333336,94.41833333333334,101.28333333333333
Store_1021,64.16833333333334,72.11,81.75666666666666,82.33500000000001,5.835,73.12333333333332,102.73166666666665,0.0,86.60166666666667,64.11,82.81333333333333,68.85,49.485,118.16666666666667,64.38166666666667,112.48333333333333,75.13333333333334,108.315,65.19833333333334,78.89333333333335,42.88166666666667,37.056666666666665,73.44833333333332,67.62833333333333,50.87166666666667,159.19833333333332,47.73166666666667,72.01833333333335,63.098333333333336,75.68666666666667,113.80833333333334,180.23666666666668,42.82333333333334,118.18833333333333,79.61999999999999,58.7,4.8966666666666665,58.75833333333333,53.458333333333336,58.723333333333336,68.49499999999999,57.38166666666667,69.26833333333335,117.44166666666666,41.748333333333335,74.91499999999999,60.25333333333333,66.75500000000001,47.568333333333335,35.905
Store_1029,32.79666666666667,29.201666666666664,8.438333333333334,7.846666666666667,81.16166666666666,93.41000000000001,108.71499999999999,85.605,0.0,53.745,6.645,26.515,46.85,124.15,57.14333333333333,118.46666666666667,17.93166666666667,114.29833333333333,55.443333333333335,66.35333333333332,62.46333333333334,62.001666666666665,28.61,29.008333333333333,40.31333333333334,85.13166666666666,45.625,71.31333333333333,36.11333333333334,15.754999999999999,119.79166666666667,106.17,61.68333333333333,124.17166666666667,10.183333333333334,94.66333333333334,82.3,53.230000000000004,77.74499999999999,53.195,34.45333333333333,70.55666666666666,62.294999999999995,116.35,48.84166666666667,92.02333333333333,36.684999999999995,53.45666666666667,45.25,58.79333333333333
Store_1041,30.31833333333333,36.12,48.28333333333333,51.34166666666667,58.93666666666666,47.45333333333333,62.75833333333333,63.38,53.745,0.0,49.95666666666667,32.85333333333333,36.42833333333333,78.19333333333334,7.173333333333333,72.51,51.906666666666666,68.34166666666667,5.733333333333333,18.01833333333333,61.75333333333333,61.291666666666664,38.29833333333333,31.631666666666668,33.875,107.50500000000001,29.873333333333335,25.203333333333333,65.775,49.730000000000004,73.83500000000001,128.54333333333335,25.071666666666665,78.21499999999999,48.626666666666665,48.55333333333333,60.075,13.331666666666667,31.321666666666665,9.4,34.644999999999996,21.763333333333332,12.06,77.46833333333333,35.36333333333334,46.06666666666667,32.16166666666667,3.615,38.45,43.651666666666664
